date, "4 MAR 2003"
time, "06:50:59:87"
Time (SECOND), Voltage (VOLT)
-1.599966E-03, -0.001633
-1.599866E-03, -0.001633
-1.599766E-03, -0.001633
-1.599666E-03, 0.001684
-1.599566E-03, 0.001684
-1.599466E-03, -0.001633
-1.599366E-03, -0.001633
-1.599266E-03, -0.001633
-1.599166E-03, -0.001633
-1.599066E-03, -0.004950
-1.598966E-03, -0.004950
-1.598866E-03, -0.001633
-1.598766E-03, -0.001633
-1.598666E-03, -0.001633
-1.598566E-03, -0.001633
-1.598466E-03, 0.001684
-1.598366E-03, 0.005002
-1.598266E-03, 0.001684
-1.598166E-03, -0.001633
-1.598066E-03, -0.001633
-1.597966E-03, -0.001633
-1.597866E-03, -0.001633
-1.597766E-03, -0.001633
-1.597666E-03, -0.001633
-1.597566E-03, -0.001633
-1.597466E-03, 0.001684
-1.597366E-03, 0.001684
-1.597266E-03, -0.001633
-1.597166E-03, -0.001633
-1.597066E-03, -0.001633
-1.596966E-03, 0.001684
-1.596866E-03, -0.001633
-1.596766E-03, -0.001633
-1.596666E-03, -0.001633
-1.596566E-03, 0.001684
-1.596466E-03, -0.001633
-1.596366E-03, -0.001633
-1.596266E-03, 0.001684
-1.596166E-03, 0.005002
-1.596066E-03, 0.005002
-1.595966E-03, 0.001684
-1.595866E-03, -0.001633
-1.595766E-03, -0.001633
-1.595666E-03, -0.004950
-1.595566E-03, -0.001633
-1.595466E-03, -0.001633
-1.595366E-03, -0.001633
-1.595266E-03, -0.001633
-1.595166E-03, -0.001633
-1.595066E-03, -0.001633
-1.594966E-03, 0.001684
-1.594866E-03, 0.001684
-1.594766E-03, -0.001633
-1.594666E-03, -0.001633
-1.594566E-03, -0.001633
-1.594466E-03, -0.001633
-1.594366E-03, 0.001684
-1.594266E-03, 0.001684
-1.594166E-03, 0.001684
-1.594066E-03, -0.001633
-1.593966E-03, -0.001633
-1.593866E-03, 0.001684
-1.593766E-03, 0.001684
-1.593666E-03, -0.001633
-1.593566E-03, -0.004950
-1.593466E-03, -0.001633
-1.593366E-03, -0.001633
-1.593266E-03, -0.001633
-1.593166E-03, -0.004950
-1.593066E-03, -0.001633
-1.592966E-03, 0.001684
-1.592866E-03, 0.001684
-1.592766E-03, -0.001633
-1.592666E-03, -0.001633
-1.592566E-03, -0.001633
-1.592466E-03, -0.001633
-1.592366E-03, 0.001684
-1.592266E-03, 0.001684
-1.592166E-03, 0.001684
-1.592066E-03, 0.001684
-1.591966E-03, -0.001633
-1.591866E-03, -0.001633
-1.591766E-03, -0.001633
-1.591666E-03, -0.001633
-1.591566E-03, -0.001633
-1.591466E-03, 0.001684
-1.591366E-03, 0.001684
-1.591266E-03, -0.001633
-1.591166E-03, -0.001633
-1.591066E-03, 0.001684
-1.590966E-03, 0.001684
-1.590866E-03, 0.001684
-1.590766E-03, 0.001684
-1.590666E-03, 0.001684
-1.590566E-03, 0.001684
-1.590466E-03, 0.001684
-1.590366E-03, -0.001633
-1.590266E-03, -0.001633
-1.590166E-03, -0.001633
-1.590066E-03, 0.001684
-1.589966E-03, 0.001684
-1.589866E-03, 0.001684
-1.589766E-03, 0.001684
-1.589666E-03, -0.004950
-1.589566E-03, -0.004950
-1.589466E-03, -0.001633
-1.589366E-03, -0.001633
-1.589266E-03, -0.001633
-1.589166E-03, -0.004950
-1.589066E-03, -0.001633
-1.588966E-03, 0.001684
-1.588866E-03, 0.001684
-1.588766E-03, -0.001633
-1.588666E-03, -0.001633
-1.588566E-03, 0.001684
-1.588466E-03, 0.001684
-1.588366E-03, -0.001633
-1.588266E-03, -0.001633
-1.588166E-03, -0.001633
-1.588066E-03, -0.001633
-1.587966E-03, 0.001684
-1.587866E-03, 0.001684
-1.587766E-03, -0.001633
-1.587666E-03, -0.001633
-1.587566E-03, -0.001633
-1.587466E-03, 0.001684
-1.587366E-03, 0.005002
-1.587266E-03, 0.005002
-1.587166E-03, 0.001684
-1.587066E-03, -0.001633
-1.586966E-03, -0.001633
-1.586866E-03, -0.001633
-1.586766E-03, -0.001633
-1.586666E-03, -0.001633
-1.586566E-03, -0.001633
-1.586466E-03, -0.001633
-1.586366E-03, 0.001684
-1.586266E-03, -0.001633
-1.586166E-03, -0.001633
-1.586066E-03, 0.001684
-1.585966E-03, 0.001684
-1.585866E-03, 0.001684
-1.585766E-03, 0.001684
-1.585666E-03, 0.001684
-1.585566E-03, -0.001633
-1.585466E-03, -0.001633
-1.585366E-03, -0.001633
-1.585266E-03, 0.001684
-1.585166E-03, -0.001633
-1.585066E-03, -0.001633
-1.584966E-03, -0.001633
-1.584866E-03, 0.001684
-1.584766E-03, 0.001684
-1.584666E-03, 0.001684
-1.584566E-03, -0.001633
-1.584466E-03, -0.001633
-1.584366E-03, -0.001633
-1.584266E-03, 0.001684
-1.584166E-03, -0.001633
-1.584066E-03, -0.004950
-1.583966E-03, -0.001633
-1.583866E-03, -0.001633
-1.583766E-03, 0.001684
-1.583666E-03, -0.001633
-1.583566E-03, 0.001684
-1.583466E-03, 0.001684
-1.583366E-03, -0.001633
-1.583266E-03, -0.001633
-1.583166E-03, 0.001684
-1.583066E-03, 0.001684
-1.582966E-03, -0.001633
-1.582866E-03, -0.004950
-1.582766E-03, -0.001633
-1.582666E-03, 0.001684
-1.582566E-03, -0.001633
-1.582466E-03, -0.004950
-1.582366E-03, -0.004950
-1.582266E-03, -0.001633
-1.582166E-03, -0.001633
-1.582066E-03, 0.001684
-1.581966E-03, 0.001684
-1.581866E-03, 0.001684
-1.581766E-03, -0.001633
-1.581666E-03, 0.001684
-1.581566E-03, 0.001684
-1.581466E-03, -0.001633
-1.581366E-03, -0.001633
-1.581266E-03, -0.001633
-1.581166E-03, 0.001684
-1.581066E-03, -0.001633
-1.580966E-03, -0.004950
-1.580866E-03, -0.004950
-1.580766E-03, -0.001633
-1.580666E-03, -0.001633
-1.580566E-03, 0.001684
-1.580466E-03, 0.001684
-1.580366E-03, -0.001633
-1.580266E-03, -0.001633
-1.580166E-03, 0.001684
-1.580066E-03, 0.001684
-1.579966E-03, 0.001684
-1.579866E-03, -0.001633
-1.579766E-03, -0.001633
-1.579666E-03, -0.001633
-1.579566E-03, -0.001633
-1.579466E-03, -0.001633
-1.579366E-03, -0.001633
-1.579266E-03, -0.001633
-1.579166E-03, -0.001633
-1.579066E-03, -0.001633
-1.578966E-03, 0.001684
-1.578866E-03, 0.001684
-1.578766E-03, 0.001684
-1.578666E-03, 0.001684
-1.578566E-03, 0.001684
-1.578466E-03, -0.001633
-1.578366E-03, -0.001633
-1.578266E-03, -0.001633
-1.578166E-03, 0.001684
-1.578066E-03, 0.001684
-1.577966E-03, -0.001633
-1.577866E-03, -0.001633
-1.577766E-03, -0.001633
-1.577666E-03, 0.001684
-1.577566E-03, 0.001684
-1.577466E-03, 0.001684
-1.577366E-03, -0.001633
-1.577266E-03, 0.001684
-1.577166E-03, 0.005002
-1.577066E-03, 0.001684
-1.576966E-03, -0.001633
-1.576866E-03, -0.004950
-1.576766E-03, -0.001633
-1.576666E-03, -0.001633
-1.576566E-03, 0.001684
-1.576466E-03, 0.001684
-1.576366E-03, 0.001684
-1.576266E-03, -0.001633
-1.576166E-03, -0.001633
-1.576066E-03, 0.001684
-1.575966E-03, 0.001684
-1.575866E-03, -0.001633
-1.575766E-03, -0.001633
-1.575666E-03, 0.001684
-1.575566E-03, -0.001633
-1.575466E-03, 0.001684
-1.575366E-03, 0.001684
-1.575266E-03, -0.001633
-1.575166E-03, 0.001684
-1.575066E-03, 0.001684
-1.574966E-03, -0.001633
-1.574866E-03, -0.004950
-1.574766E-03, -0.004950
-1.574666E-03, -0.001633
-1.574566E-03, 0.001684
-1.574466E-03, 0.001684
-1.574366E-03, -0.001633
-1.574266E-03, -0.001633
-1.574166E-03, -0.001633
-1.574066E-03, -0.004950
-1.573966E-03, -0.004950
-1.573866E-03, -0.001633
-1.573766E-03, 0.005002
-1.573666E-03, 0.005002
-1.573566E-03, 0.001684
-1.573466E-03, -0.001633
-1.573366E-03, -0.001633
-1.573266E-03, 0.001684
-1.573166E-03, 0.001684
-1.573066E-03, 0.001684
-1.572966E-03, 0.001684
-1.572866E-03, 0.001684
-1.572766E-03, 0.001684
-1.572666E-03, 0.001684
-1.572566E-03, 0.001684
-1.572466E-03, 0.001684
-1.572366E-03, -0.001633
-1.572266E-03, -0.004950
-1.572166E-03, -0.001633
-1.572066E-03, 0.001684
-1.571966E-03, -0.001633
-1.571866E-03, -0.004950
-1.571766E-03, -0.004950
-1.571666E-03, -0.001633
-1.571566E-03, 0.001684
-1.571466E-03, 0.001684
-1.571366E-03, -0.001633
-1.571266E-03, -0.001633
-1.571166E-03, -0.001633
-1.571066E-03, -0.001633
-1.570966E-03, -0.001633
-1.570866E-03, 0.001684
-1.570766E-03, -0.001633
-1.570666E-03, -0.001633
-1.570566E-03, -0.001633
-1.570466E-03, -0.001633
-1.570366E-03, 0.001684
-1.570266E-03, 0.001684
-1.570166E-03, 0.001684
